Vessel,Trip No,Counter,Status,Customer,Month,Time,Total Time,Last Discharge Port Depart,Discharge Port Depart,Discharge Counts,Load Counts,Trip Details,Product,Load Quantity,Total Load Quantity,Details,Vessel_y,Customer (Finance),Cargo (Finance),Contract Type,Load-Port 1,Load-Port 2,Load-Port 3,Discharge-Port 1,Discharge-Port 2,Discharge-Port 3,Discharge-Port 4,Trade Pattern (per sched),TRADE MASTER,Schedule Map,Freight rate (per tonne) - PY,Time charter rate (per day) - PY,Rebate (per tonne) - PY,Other revenue (per trip) - PY,Demurrage rate - PY,Despatch rate - PY,Avg. cc / trip (PY),Freight rate (per tonne) - CY,Time charter rate (per day) - CY,Rebate (per tonne) - CY,Other revenue (per trip) - CY,Demurrage rate - CY,Despatch rate - CY,Type,Avg. cc / trip (CY),Fuel surcharge peg (per L),Fuel surcharge type,Fuel surcharge (tonnage factor),Fuel surcharge (litres factor),Calc comments,Reference price,Column1,In CY schedules?,Total Freight,Total Rebate,Total Time Charter,Total Revenue,b_start_str,b_end_str,Timing,Timing_str,Month Start,Month1,Month End,Month2,Start Month Days,End Month Days
Huron Spirit,10,12,Firm,Algoma Steel D,May,8.33,8.33,2024-05-19 13:40:49.630,2024-05-27 21:30:32.226,3,1,"Algoma Steel D,Steel,Sault Ste Marie,Detroit,Toledo,Cleveland",Steel,10700.0,10700.0,"Huron Spirit,Algoma Steel D,Steel,Sault Ste Marie,Detroit,Toledo,Cleveland",Huron Spirit,Algoma Steel,Steel,COA,Sault Ste. Marie,,,Detroit,Toledo,Cleveland,,Sault Ste. Marie__-Detroit_Toledo_Cleveland_,Huron Spirit*Algoma Steel*Steel*Sault Ste. Marie__-Detroit_Toledo_Cleveland_,"Huron Spirit,Algoma Steel D,Steel,Sault Ste Marie,Detroit,Toledo,Cleveland",16.44,0,0.15,11860.8,661.88,-681.07,1030.83,16.92,0,0.13143999322356567,12204.76,681.07,-681.07,,1065.87822,0.75,Tonnage-based,8.46,0,*Fuel surcharge/rebate more complicated - Refer to worksheet (Depends on tonnage & rate & precentage),,,YES,181044.00000000003,1406.4079274921526,0.0,179637.5920725079,20240519134049,20240527213032,20240519134049.20240527213032,20240519134049.20240527213032,2024-05-01,5,2024-05-31 23:59:59.999999999,5,0.0,8.326187453703703
Huron Spirit,11,13,Firm,Pollard,Jun,0.57,4.67,2024-05-27 21:30:32.226,2024-06-01 13:39:01.613,1,1,"Pollard,Calcium L,Courtright,Little Current",Calcium L,6000.0,6000.0,"Huron Spirit,Pollard,Calcium L,Courtright,Little Current",Huron Spirit,Trillium,Calcium,COA,Courtright,,,Little Current,,,,Courtright__-Little Current___,Huron Spirit*Trillium*Calcium*Courtright__-Little Current___,"Huron Spirit,Pollard,Calcium L,Courtright,Little Current",21.87,0,0.9165,0,793.1,0,157.25,22.53,0,0.9165,0,816.89,0,,162.5965,0.8,Litres-based,0,15000,Simple - litres * price diff,Econo - Windsor rate but use Hamilton,,YES,135180.0,5499.0,0.0,129681.0,20240527213032,20240601133901,20240527213032.20240601133901,20240527213032.20240601133901,2024-06-01,6,2024-05-31 23:59:59.999999999,5,4.1,0.57
Huron Spirit,12,14,Firm,Algoma Steel D,Jun,7.19,7.19,2024-06-01 13:39:01.613,2024-06-08 18:08:41.015,3,1,"Algoma Steel D,Steel,Sault Ste Marie,Detroit,Toledo,Cleveland",Steel,10700.0,10700.0,"Huron Spirit,Algoma Steel D,Steel,Sault Ste Marie,Detroit,Toledo,Cleveland",Huron Spirit,Algoma Steel,Steel,COA,Sault Ste. Marie,,,Detroit,Toledo,Cleveland,,Sault Ste. Marie__-Detroit_Toledo_Cleveland_,Huron Spirit*Algoma Steel*Steel*Sault Ste. Marie__-Detroit_Toledo_Cleveland_,"Huron Spirit,Algoma Steel D,Steel,Sault Ste Marie,Detroit,Toledo,Cleveland",16.44,0,0.15,11860.8,661.88,-681.07,1030.83,16.92,0,0.13143999322356567,12204.76,681.07,-681.07,,1065.87822,0.75,Tonnage-based,8.46,0,*Fuel surcharge/rebate more complicated - Refer to worksheet (Depends on tonnage & rate & precentage),,,YES,181044.00000000003,1406.4079274921526,0.0,179637.5920725079,20240601133901,20240608180841,20240601133901.20240608180841,20240601133901.20240608180841,2024-06-01,6,2024-06-30 23:59:59.999999999,6,0.0,7.187261597222222
Huron Spirit,13,15,Firm,Southwest M,Jun,1.83,1.83,2024-06-08 18:08:41.015,2024-06-10 13:58:39.275,1,1,"Southwest M,Stone,Marblehead,Windsor",Stone,11000.0,11000.0,"Huron Spirit,Southwest M,Stone,Marblehead,Windsor",Huron Spirit,SWS,Aggregates,COA,Marblehead,,,Windsor,,,,Marblehead__-Windsor___,Huron Spirit*SWS*Aggregates*Marblehead__-Windsor___,"Huron Spirit,Southwest M,Stone,Marblehead,Windsor",3.86,0,0,0,655.64,0,2209.41,3.99,0,0,0,677.93,0,,2284.52994,0.9,Tonnage-based,1,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Average Fuel Price (including FET) incurred by McKeil,,YES,43890.0,0.0,0.0,43890.0,20240608180841,20240610135839,20240608180841.20240610135839,20240608180841.20240610135839,2024-06-01,6,2024-06-30 23:59:59.999999999,6,0.0,1.82636875
Huron Spirit,14,16,Firm,Fishers Company,Jun,5.28,5.28,2024-06-10 13:58:39.275,2024-06-15 20:43:37.101,1,1,"Fishers Company,Aggregate,Sault Ste Marie,Bay City",Aggregate,11300.0,11300.0,"Huron Spirit,Fishers Company,Aggregate,Sault Ste Marie,Bay City",Huron Spirit,Bay Aggregates,Aggregates,COA,Sault Ste. Marie,,,Bay City,,,,Sault Ste. Marie__-Bay City___,Huron Spirit*Bay Aggregates*Aggregates*Sault Ste. Marie__-Bay City___,"Huron Spirit,Fishers Company,Aggregate,Sault Ste Marie,Bay City",11.69,0,0,0,850.5,-440.13375,157.25,12.096000000000002,0,0,0,880.2675,-440.1405,,162.5965,0.77,Tonnage-based,2.3,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Actual cost,,YES,136684.80000000002,0.0,0.0,136684.80000000002,20240610135839,20240615204337,20240610135839.20240615204337,20240610135839.20240615204337,2024-06-01,6,2024-06-30 23:59:59.999999999,6,0.0,5.281224837962963
Huron Spirit,15,17,Firm,Algoma Steel D,Jun,7.16,7.16,2024-06-15 20:43:37.101,2024-06-23 00:40:04.050,3,1,"Algoma Steel D,Steel,Sault Ste Marie,Detroit,Toledo,Cleveland",Steel,10700.0,10700.0,"Huron Spirit,Algoma Steel D,Steel,Sault Ste Marie,Detroit,Toledo,Cleveland",Huron Spirit,Algoma Steel,Steel,COA,Sault Ste. Marie,,,Detroit,Toledo,Cleveland,,Sault Ste. Marie__-Detroit_Toledo_Cleveland_,Huron Spirit*Algoma Steel*Steel*Sault Ste. Marie__-Detroit_Toledo_Cleveland_,"Huron Spirit,Algoma Steel D,Steel,Sault Ste Marie,Detroit,Toledo,Cleveland",16.44,0,0.15,11860.8,661.88,-681.07,1030.83,16.92,0,0.13143999322356567,12204.76,681.07,-681.07,,1065.87822,0.75,Tonnage-based,8.46,0,*Fuel surcharge/rebate more complicated - Refer to worksheet (Depends on tonnage & rate & precentage),,,YES,181044.00000000003,1406.4079274921526,0.0,179637.5920725079,20240615204337,20240623004004,20240615204337.20240623004004,20240615204337.20240623004004,2024-06-01,6,2024-06-30 23:59:59.999999999,6,0.0,7.164200798611112
Huron Spirit,16,18,Firm,Pollard,Jun,4.58,4.58,2024-06-23 00:40:04.050,2024-06-27 14:29:30.594,1,1,"Pollard,Calcium L,Courtright,Little Current",Calcium L,6000.0,6000.0,"Huron Spirit,Pollard,Calcium L,Courtright,Little Current",Huron Spirit,Trillium,Calcium,COA,Courtright,,,Little Current,,,,Courtright__-Little Current___,Huron Spirit*Trillium*Calcium*Courtright__-Little Current___,"Huron Spirit,Pollard,Calcium L,Courtright,Little Current",21.87,0,0.9165,0,793.1,0,157.25,22.53,0,0.9165,0,816.89,0,,162.5965,0.8,Litres-based,0,15000,Simple - litres * price diff,Econo - Windsor rate but use Hamilton,,YES,135180.0,5499.0,0.0,129681.0,20240623004004,20240627142930,20240623004004.20240627142930,20240623004004.20240627142930,2024-06-01,6,2024-06-30 23:59:59.999999999,6,0.0,4.5760016666666665
Huron Spirit,17,19,Firm,Algoma Steel D,Jul,3.77,7.17,2024-06-27 14:29:30.594,2024-07-04 18:32:18.664,3,1,"Algoma Steel D,Steel,Sault Ste Marie,Detroit,Toledo,Cleveland",Steel,10700.0,10700.0,"Huron Spirit,Algoma Steel D,Steel,Sault Ste Marie,Detroit,Toledo,Cleveland",Huron Spirit,Algoma Steel,Steel,COA,Sault Ste. Marie,,,Detroit,Toledo,Cleveland,,Sault Ste. Marie__-Detroit_Toledo_Cleveland_,Huron Spirit*Algoma Steel*Steel*Sault Ste. Marie__-Detroit_Toledo_Cleveland_,"Huron Spirit,Algoma Steel D,Steel,Sault Ste Marie,Detroit,Toledo,Cleveland",16.44,0,0.15,11860.8,661.88,-681.07,1030.83,16.92,0,0.13143999322356567,12204.76,681.07,-681.07,,1065.87822,0.75,Tonnage-based,8.46,0,*Fuel surcharge/rebate more complicated - Refer to worksheet (Depends on tonnage & rate & precentage),,,YES,181044.00000000003,1406.4079274921526,0.0,179637.5920725079,20240627142930,20240704183218,20240627142930.20240704183218,20240627142930.20240704183218,2024-07-01,7,2024-06-30 23:59:59.999999999,6,3.4,3.77
Huron Spirit,18,20,Firm,Southwest M,Jul,1.81,1.81,2024-07-04 18:32:18.664,2024-07-06 13:59:35.167,1,1,"Southwest M,Stone,Marblehead,Windsor",Stone,11000.0,11000.0,"Huron Spirit,Southwest M,Stone,Marblehead,Windsor",Huron Spirit,SWS,Aggregates,COA,Marblehead,,,Windsor,,,,Marblehead__-Windsor___,Huron Spirit*SWS*Aggregates*Marblehead__-Windsor___,"Huron Spirit,Southwest M,Stone,Marblehead,Windsor",3.86,0,0,0,655.64,0,2209.41,3.99,0,0,0,677.93,0,,2284.52994,0.9,Tonnage-based,1,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Average Fuel Price (including FET) incurred by McKeil,,YES,43890.0,0.0,0.0,43890.0,20240704183218,20240706135935,20240704183218.20240706135935,20240704183218.20240706135935,2024-07-01,7,2024-07-31 23:59:59.999999999,7,0.0,1.810607673611111
Huron Spirit,19,21,Firm,Fishers Company,Jul,5.22,5.22,2024-07-06 13:59:35.167,2024-07-11 19:15:39.767,1,1,"Fishers Company,Aggregate,Sault Ste Marie,Bay City",Aggregate,11300.0,11300.0,"Huron Spirit,Fishers Company,Aggregate,Sault Ste Marie,Bay City",Huron Spirit,Bay Aggregates,Aggregates,COA,Sault Ste. Marie,,,Bay City,,,,Sault Ste. Marie__-Bay City___,Huron Spirit*Bay Aggregates*Aggregates*Sault Ste. Marie__-Bay City___,"Huron Spirit,Fishers Company,Aggregate,Sault Ste Marie,Bay City",11.69,0,0,0,850.5,-440.13375,157.25,12.096000000000002,0,0,0,880.2675,-440.1405,,162.5965,0.77,Tonnage-based,2.3,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Actual cost,,YES,136684.80000000002,0.0,0.0,136684.80000000002,20240706135935,20240711191539,20240706135935.20240711191539,20240706135935.20240711191539,2024-07-01,7,2024-07-31 23:59:59.999999999,7,0.0,5.219497685185185
Huron Spirit,20,22,Firm,Algoma Steel D,Jul,7.09,7.09,2024-07-11 19:15:39.767,2024-07-18 21:31:17.892,3,1,"Algoma Steel D,Steel,Sault Ste Marie,Detroit,Toledo,Cleveland",Steel,10700.0,10700.0,"Huron Spirit,Algoma Steel D,Steel,Sault Ste Marie,Detroit,Toledo,Cleveland",Huron Spirit,Algoma Steel,Steel,COA,Sault Ste. Marie,,,Detroit,Toledo,Cleveland,,Sault Ste. Marie__-Detroit_Toledo_Cleveland_,Huron Spirit*Algoma Steel*Steel*Sault Ste. Marie__-Detroit_Toledo_Cleveland_,"Huron Spirit,Algoma Steel D,Steel,Sault Ste Marie,Detroit,Toledo,Cleveland",16.44,0,0.15,11860.8,661.88,-681.07,1030.83,16.92,0,0.13143999322356567,12204.76,681.07,-681.07,,1065.87822,0.75,Tonnage-based,8.46,0,*Fuel surcharge/rebate more complicated - Refer to worksheet (Depends on tonnage & rate & precentage),,,YES,181044.00000000003,1406.4079274921526,0.0,179637.5920725079,20240711191539,20240718213117,20240711191539.20240718213117,20240711191539.20240718213117,2024-07-01,7,2024-07-31 23:59:59.999999999,7,0.0,7.094191261574074
Huron Spirit,46,1,Tentative,Southwest M,Mar,2.27,2.27,2024-03-22 12:00:00.000,2024-03-24 18:31:57.454,1,1,"Southwest M,Stone,Marblehead,Kingsville",Stone,11000.0,21700.0,"Huron Spirit,Southwest M,Stone,Marblehead,Kingsville",Huron Spirit,SWS,Aggregates,,Marblehead,,,Kingsville,,,,Marblehead__-Kingsville___,Huron Spirit*SWS*Aggregates*Marblehead__-Kingsville___,"Huron Spirit,Southwest M,Stone,Marblehead,Kingsville",3.75,0,0,0,618,0,0,,,,,,,,0,0.9,Tonnage-based,1,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Average Fuel Price (including FET) incurred by McKeil,,NO,,,,,20240322120000,20240324183157,20240322120000.20240324183157,20240322120000.20240324183157,2024-03-01,3,2024-03-31 23:59:59.999999999,3,0.0,2.2721927546296294
Huron Spirit,47,2,Firm,Algoma Steel D,Apr,1.51,8.74,2024-03-24 18:31:57.454,2024-04-02 12:16:49.692,3,1,"Algoma Steel D,Steel,Sault Ste Marie,Detroit,Toledo,Cleveland",Steel,10700.0,21400.0,"Huron Spirit,Algoma Steel D,Steel,Sault Ste Marie,Detroit,Toledo,Cleveland",Huron Spirit,Algoma Steel,Steel,COA,Sault Ste. Marie,,,Detroit,Toledo,Cleveland,,Sault Ste. Marie__-Detroit_Toledo_Cleveland_,Huron Spirit*Algoma Steel*Steel*Sault Ste. Marie__-Detroit_Toledo_Cleveland_,"Huron Spirit,Algoma Steel D,Steel,Sault Ste Marie,Detroit,Toledo,Cleveland",16.44,0,0.15,11860.8,661.88,-681.07,1030.83,16.92,0,0.13143999322356567,12204.76,681.07,-681.07,,1065.87822,0.75,Tonnage-based,8.46,0,*Fuel surcharge/rebate more complicated - Refer to worksheet (Depends on tonnage & rate & precentage),,,YES,362088.00000000006,2812.815854984305,0.0,359275.1841450158,20240324183157,20240402121649,20240324183157.20240402121649,20240324183157.20240402121649,2024-04-01,4,2024-03-31 23:59:59.999999999,3,7.23,1.51
Niagara Spirit,5,5,Unknown,Unknown,Apr,11.89,11.89,2024-04-13 04:32:54.235,2024-04-25 01:49:34.666,1,1,"Unknown,Armour Stone,Belledune,Cap Aux Meules",Armour Stone,7700.0,7700.0,"Niagara Spirit,Unknown,Armour Stone,Belledune,Cap Aux Meules",Niagara Spirit,Unknown,Armour Stone,Unknown,Belledune,,,Cap Aux Meules,,,,Belledune__-Cap Aux Meules___,Niagara Spirit*Unknown*Armour Stone*Belledune__-Cap Aux Meules___,"Niagara Spirit,Unknown,Armour Stone,Belledune,Cap Aux Meules",,,,,,,3521,0,21000,0,0,0,0,,0,0,Tonnage-based,0,0,Simple - Price difference per litre * metric tonnes * tonnage carried,,,YES,0.0,0.0,249690.0,249690.0,20240413043254,20240425014934,20240413043254.20240425014934,20240413043254.20240425014934,2024-04-01,4,2024-04-30 23:59:59.999999999,4,0.0,11.8865790625
Niagara Spirit,8,8,Unknown,Unknown,May,11.73,11.73,2024-05-02 12:04:07.750,2024-05-14 05:37:54.820,1,1,"Unknown,Armour Stone,Belledune,Cap Aux Meules",Armour Stone,7700.0,7700.0,"Niagara Spirit,Unknown,Armour Stone,Belledune,Cap Aux Meules",Niagara Spirit,Unknown,Armour Stone,Unknown,Belledune,,,Cap Aux Meules,,,,Belledune__-Cap Aux Meules___,Niagara Spirit*Unknown*Armour Stone*Belledune__-Cap Aux Meules___,"Niagara Spirit,Unknown,Armour Stone,Belledune,Cap Aux Meules",,,,,,,3521,0,21000,0,0,0,0,,0,0,Tonnage-based,0,0,Simple - Price difference per litre * metric tonnes * tonnage carried,,,YES,0.0,0.0,246330.0,246330.0,20240502120407,20240514053754,20240502120407.20240514053754,20240502120407.20240514053754,2024-05-01,5,2024-05-31 23:59:59.999999999,5,0.0,11.731794791666665
Niagara Spirit,11,11,Unknown,Unknown,Jun,6.71,15.73,2024-05-22 23:22:06.281,2024-06-07 16:55:53.350,1,1,"Unknown,Armour Stone,Belledune,Cap Aux Meules",Armour Stone,7700.0,7700.0,"Niagara Spirit,Unknown,Armour Stone,Belledune,Cap Aux Meules",Niagara Spirit,Unknown,Armour Stone,Unknown,Belledune,,,Cap Aux Meules,,,,Belledune__-Cap Aux Meules___,Niagara Spirit*Unknown*Armour Stone*Belledune__-Cap Aux Meules___,"Niagara Spirit,Unknown,Armour Stone,Belledune,Cap Aux Meules",,,,,,,3521,0,21000,0,0,0,0,,0,0,Tonnage-based,0,0,Simple - Price difference per litre * metric tonnes * tonnage carried,,,YES,0.0,0.0,330330.0,330330.0,20240522232206,20240607165553,20240522232206.20240607165553,20240522232206.20240607165553,2024-06-01,6,2024-05-31 23:59:59.999999999,5,9.03,6.71
Niagara Spirit,15,15,Unknown,Unknown,Jun,10.43,15.42,2024-06-20 13:33:45.925,2024-07-05 23:41:46.270,1,1,"Unknown,Armour Stone,Belledune,Cap Aux Meules",Armour Stone,7700.0,7700.0,"Niagara Spirit,Unknown,Armour Stone,Belledune,Cap Aux Meules",Niagara Spirit,Unknown,Armour Stone,Unknown,Belledune,,,Cap Aux Meules,,,,Belledune__-Cap Aux Meules___,Niagara Spirit*Unknown*Armour Stone*Belledune__-Cap Aux Meules___,"Niagara Spirit,Unknown,Armour Stone,Belledune,Cap Aux Meules",,,,,,,3521,0,21000,0,0,0,0,,0,0,Tonnage-based,0,0,Simple - Price difference per litre * metric tonnes * tonnage carried,,,YES,0.0,0.0,323820.0,323820.0,20240620133345,20240705234146,20240620133345.20240705234146,20240620133345.20240705234146,2024-07-01,7,2024-06-30 23:59:59.999999999,6,10.43,4.99
Niagara Spirit,18,18,Unknown,Unknown,Jul,11.65,11.65,2024-07-16 01:13:59.745,2024-07-27 16:56:20.133,1,1,"Unknown,Armour Stone,Belledune,Cap Aux Meules",Armour Stone,7700.0,7700.0,"Niagara Spirit,Unknown,Armour Stone,Belledune,Cap Aux Meules",Niagara Spirit,Unknown,Armour Stone,Unknown,Belledune,,,Cap Aux Meules,,,,Belledune__-Cap Aux Meules___,Niagara Spirit*Unknown*Armour Stone*Belledune__-Cap Aux Meules___,"Niagara Spirit,Unknown,Armour Stone,Belledune,Cap Aux Meules",,,,,,,3521,0,21000,0,0,0,0,,0,0,Tonnage-based,0,0,Simple - Price difference per litre * metric tonnes * tonnage carried,,,YES,0.0,0.0,244650.0,244650.0,20240716011359,20240727165620,20240716011359.20240727165620,20240716011359.20240727165620,2024-07-01,7,2024-07-31 23:59:59.999999999,7,0.0,11.65440263888889
Northern Venture,1,1,Unknown,Unknown,Apr,4.5,4.5,2024-04-01 00:01:00.000,2024-04-05 12:01:00.000,1,1,"Unknown,Unknown,Unknown,Unknown",Unknown,13500.0,13500.0,"Northern Venture,Unknown,Unknown,Unknown,Unknown",Northern Venture,Unknown,Unknown,Unknown,Unknown,,,Unknown,,,,Unknown__-Unknown___,Northern Venture*Unknown*Unknown*Unknown__-Unknown___,"Northern Venture,Unknown,Unknown,Unknown,Unknown",,,,,,,0,0,38600,0,0,0,0,,0,0,Tonnage-based,0,0,,,,NO,0.0,0.0,173700.0,173700.0,20240401000100,20240405120100,20240401000100.20240405120100,20240401000100.20240405120100,2024-04-01,4,2024-04-30 23:59:59.999999999,4,0.0,4.5
Northern Venture,2,2,Firm,Mosaic,Apr,6.24,6.24,2024-04-05 12:01:00.000,2024-04-11 17:52:47.019,2,1,"Mosaic,Potash,Thunder Bay,Sarnia,Toledo",Potash,13500.0,13500.0,"Northern Venture,Mosaic,Potash,Thunder Bay,Sarnia,Toledo",Northern Venture,Mosaic,Potash,Spot,Thunder Bay,,,Sarnia,Toledo,,,Thunder Bay__-Sarnia_Toledo__,Northern Venture*Mosaic*Potash*Thunder Bay__-Sarnia_Toledo__,"Northern Venture,Mosaic,Potash,Thunder Bay,Sarnia,Toledo",,,,,,,,26.23,0,0,0,1780,-890,,4426.3125,0,,0,0,,,,NO,354105.0,0.0,0.0,354105.0,20240405120100,20240411175247,20240405120100.20240411175247,20240405120100.20240411175247,2024-04-01,4,2024-04-30 23:59:59.999999999,4,0.0,6.244294201388889
Northern Venture,4,4,Firm,Tomlinson,Apr,2.79,2.79,2024-04-13 03:44:13.219,2024-04-15 22:46:00.518,1,1,"Tomlinson,Stone,Bruce Mines,Detroit",Stone,15653.0,15653.0,"Northern Venture,Tomlinson,Stone,Bruce Mines,Detroit",Northern Venture,Tomlinson,Stone,COA,Bruce Mines,,,Detroit,,,,Bruce Mines__-Detroit___,Northern Venture*Tomlinson*Stone*Bruce Mines__-Detroit___,"Northern Venture,Tomlinson,Stone,Bruce Mines,Detroit",8.7,0,0,0,1500,-750,1702.2637499999998,8.92,0,0,0,1552.5,-776.25,,1745.3095000000003,1,Tonnage-based,2.31,0,,,,YES,139624.76,0.0,0.0,139624.76,20240413034413,20240415224600,20240413034413.20240415224600,20240413034413.20240415224600,2024-04-01,4,2024-04-30 23:59:59.999999999,4,0.0,2.792908553240741
Northern Venture,5,5,Firm,Windsor Salt,Apr,3.0,3.0,2024-04-15 22:46:00.518,2024-04-18 22:48:03.254,1,1,"Windsor Salt,Salt,Fairport,Fisher Harbour",Salt,13000.0,13000.0,"Northern Venture,Windsor Salt,Salt,Fairport,Fisher Harbour",Northern Venture,Windsor Salt,Salt,COA,Fairport,,,Fisher Harbour,,,,Fairport__-Fisher Harbour___,Northern Venture*Windsor Salt*Salt*Fairport__-Fisher Harbour___,"Northern Venture,Windsor Salt,Salt,Fairport,Fisher Harbour",10.06,0,0,0,1500,-750,1936.5500000000002,10.3,0,0,0,1545,-772.5,,1982.75,1.00299998997,Tonnage-based,2.38,0,,,,NO,133900.0,0.0,0.0,133900.0,20240415224600,20240418224803,20240415224600.20240418224803,20240415224600.20240418224803,2024-04-01,4,2024-04-30 23:59:59.999999999,4,0.0,3.0014205555555558
Northern Venture,6,6,Firm,Compass,Apr,1.87,1.87,2024-04-18 22:48:03.254,2024-04-20 19:40:39.854,1,1,"Compass,Salt,Goderich,Fisher Harbour",Salt,15400.0,15400.0,"Northern Venture,Compass,Salt,Goderich,Fisher Harbour",Northern Venture,Compass,Salt,COA,Goderich,,,Fisher Harbour,,,,Goderich__-Fisher Harbour___,Northern Venture*Compass*Salt*Goderich__-Fisher Harbour___,"Northern Venture,Compass,Salt,Goderich,Fisher Harbour",5.92,0,0,0,1500,-750,1139.6000000000001,6.07,0,0,0,1551,-775.5,,1168.4750000000001,1,Tonnage-based,1.47,0,,,,YES,93478.0,0.0,0.0,93478.0,20240418224803,20240420194039,20240418224803.20240420194039,20240418224803.20240420194039,2024-04-01,4,2024-04-30 23:59:59.999999999,4,0.0,1.8698680555555556
Northern Venture,7,7,Firm,Tomlinson,Apr,2.25,2.25,2024-04-20 19:40:39.854,2024-04-23 01:38:42.740,1,1,"Tomlinson,Stone,Bruce Mines,Muskegon",Stone,15653.0,15653.0,"Northern Venture,Tomlinson,Stone,Bruce Mines,Muskegon",Northern Venture,Tomlinson,Stone,COA,Bruce Mines,,,Muskegon,,,,Bruce Mines__-Muskegon___,Northern Venture*Tomlinson*Stone*Bruce Mines__-Muskegon___,"Northern Venture,Tomlinson,Stone,Bruce Mines,Muskegon",7.99,0,0,0,1500,-750,1563.3433750000002,8.73,0,0,0,1552.5,-776.25,,1708.1336250000002,1,Tonnage-based,2.31,0,,,,YES,136650.69,0.0,0.0,136650.69,20240420194039,20240423013842,20240420194039.20240423013842,20240420194039.20240423013842,2024-04-01,4,2024-04-30 23:59:59.999999999,4,0.0,2.248644513888889
Northern Venture,8,8,Firm,Tomlinson,Apr,2.97,2.97,2024-04-23 01:38:42.740,2024-04-26 00:50:03.591,1,1,"Tomlinson,Stone,Bruce Mines,Detroit",Stone,15653.0,15653.0,"Northern Venture,Tomlinson,Stone,Bruce Mines,Detroit",Northern Venture,Tomlinson,Stone,COA,Bruce Mines,,,Detroit,,,,Bruce Mines__-Detroit___,Northern Venture*Tomlinson*Stone*Bruce Mines__-Detroit___,"Northern Venture,Tomlinson,Stone,Bruce Mines,Detroit",8.7,0,0,0,1500,-750,1702.2637499999998,8.92,0,0,0,1552.5,-776.25,,1745.3095000000003,1,Tonnage-based,2.31,0,,,,YES,139624.76,0.0,0.0,139624.76,20240423013842,20240426005003,20240423013842.20240426005003,20240423013842.20240426005003,2024-04-01,4,2024-04-30 23:59:59.999999999,4,0.0,2.9662135532407405
Northern Venture,9,9,Firm,Compass,Apr,1.43,1.43,2024-04-26 00:50:03.591,2024-04-27 11:10:28.211,1,1,"Compass,Salt,Goderich,Alpena",Salt,8800.0,8800.0,"Northern Venture,Compass,Salt,Goderich,Alpena",Northern Venture,Compass,Salt,COA,Goderich,,,Alpena,,,,Goderich__-Alpena___,Northern Venture*Compass*Salt*Goderich__-Alpena___,"Northern Venture,Compass,Salt,Goderich,Alpena",7.56,0,0,0,1500,-750,831.6,7.76,0,0,0,1551,-775.5,,853.6,1,Tonnage-based,1.92,0,,,,YES,68288.0,0.0,0.0,68288.0,20240426005003,20240427111028,20240426005003.20240427111028,20240426005003.20240427111028,2024-04-01,4,2024-04-30 23:59:59.999999999,4,0.0,1.430840509259259
Northern Venture,10,10,Firm,Tomlinson,Apr,2.33,2.33,2024-04-27 11:10:28.211,2024-04-29 19:04:10.374,1,1,"Tomlinson,Stone,Bruce Mines,Detroit",Stone,15653.0,15653.0,"Northern Venture,Tomlinson,Stone,Bruce Mines,Detroit",Northern Venture,Tomlinson,Stone,COA,Bruce Mines,,,Detroit,,,,Bruce Mines__-Detroit___,Northern Venture*Tomlinson*Stone*Bruce Mines__-Detroit___,"Northern Venture,Tomlinson,Stone,Bruce Mines,Detroit",8.7,0,0,0,1500,-750,1702.2637499999998,8.92,0,0,0,1552.5,-776.25,,1745.3095000000003,1,Tonnage-based,2.31,0,,,,YES,139624.76,0.0,0.0,139624.76,20240427111028,20240429190410,20240427111028.20240429190410,20240427111028.20240429190410,2024-04-01,4,2024-04-30 23:59:59.999999999,4,0.0,2.3289602199074073
Northern Venture,11,11,Firm,Tomlinson,May,1.77,2.97,2024-04-29 19:04:10.374,2024-05-02 18:25:55.122,1,1,"Tomlinson,Stone,Bruce Mines,Muskegon",Stone,15653.0,15653.0,"Northern Venture,Tomlinson,Stone,Bruce Mines,Muskegon",Northern Venture,Tomlinson,Stone,COA,Bruce Mines,,,Muskegon,,,,Bruce Mines__-Muskegon___,Northern Venture*Tomlinson*Stone*Bruce Mines__-Muskegon___,"Northern Venture,Tomlinson,Stone,Bruce Mines,Muskegon",7.99,0,0,0,1500,-750,1563.3433750000002,8.73,0,0,0,1552.5,-776.25,,1708.1336250000002,1,Tonnage-based,2.31,0,,,,YES,136650.69,0.0,0.0,136650.69,20240429190410,20240502182555,20240429190410.20240502182555,20240429190410.20240502182555,2024-05-01,5,2024-04-30 23:59:59.999999999,4,1.21,1.77
